==============================================================================
fleetsim.pl v1.01a
Command line: -offline
Run Date/Time: 2018-09-25 19:26:31
Running simulation.  Type 'Ctrl C' at anytime to end simulation.
Reading truck route info ...
Reading warehouse info...
Warehouse Name: Expo Houten Netherlands; Lat: 52.03838; Long: 5.14069
Resetting all trucks...
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Simulation starts in:
5 seconds...
4 seconds...
3 seconds...
2 seconds...
1 seconds...
4 Trucks are on the way!
Truck data will update every 5 seconds for a maximum of 3600 seconds (~720 samples/truck)...
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03838,5.14069; Accident=0; Door=0; TempC=20.0
Truck : 52.03738,5.14053; Accident=0; Door=0; TempC=20.0
Truck : 52.04098,5.14141; Accident=0; Door=0; TempC=20.3
Truck : 52.03738,5.14053; Accident=0; Door=0; TempC=20.0
Truck : 52.03738,5.14053; Accident=0; Door=0; TempC=20.0
Truck : 52.03653,5.14115; Accident=0; Door=0; TempC=20.0
Truck : 52.04223,5.14175; Accident=0; Door=0; TempC=20.3
Truck : 52.03653,5.14115; Accident=0; Door=0; TempC=20.7
Truck : 52.03653,5.14115; Accident=0; Door=0; TempC=20.0
Truck : 52.03622,5.14288; Accident=0; Door=0; TempC=20.0
Truck : 52.04216,5.14324; Accident=0; Door=0; TempC=20.3
Truck : 52.03622,5.14288; Accident=0; Door=0; TempC=20.7
Truck : 52.03622,5.14288; Accident=0; Door=0; TempC=20.0
Truck : 52.03586,5.14447; Accident=0; Door=0; TempC=20.0
Truck : 52.04078,5.14578; Accident=0; Door=0; TempC=20.3
Truck : 52.03586,5.14447; Accident=0; Door=0; TempC=20.7
Truck : 52.03586,5.14447; Accident=0; Door=0; TempC=20.0
Truck : 52.03460,5.14393; Accident=0; Door=0; TempC=20.0
Truck : 52.04142,5.14712; Accident=0; Door=0; TempC=20.3
Truck : 52.03460,5.14393; Accident=0; Door=0; TempC=20.7
Truck : 52.03460,5.14393; Accident=0; Door=0; TempC=19.9
Truck : 52.03312,5.14279; Accident=0; Door=0; TempC=20.0
Truck : 52.04249,5.14650; Accident=0; Door=0; TempC=20.3
Truck : 52.03312,5.14279; Accident=0; Door=0; TempC=20.7
Truck : 52.03374,5.14335; Accident=0; Door=0; TempC=20.5
Truck : 52.03230,5.14213; Accident=0; Door=0; TempC=20.0
Truck : 52.04316,5.14533; Accident=0; Door=0; TempC=20.3
Truck : 52.03230,5.14213; Accident=0; Door=0; TempC=20.7
Truck : 52.03266,5.14236; Accident=0; Door=0; TempC=19.9
Truck : 52.03117,5.14207; Accident=0; Door=0; TempC=20.0
