==============================================================================
fleetsimOSS.pl v2.00a
Command line: -offline
Run Date/Time: 2018-10-12 16:02:16
Running simulation.  Type 'Ctrl C' at anytime to end simulation.
Reading truck route info ...
Reading warehouse info...
Warehouse Name: Quidi Vidi Brewery; Lat: 47.58136; Long: -52.67638
Resetting all trucks...
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Simulation starts in:
5 seconds...
4 seconds...
3 seconds...
2 seconds...
1 seconds...
4 Trucks are on the way!
Truck data will update every 5 seconds for a maximum of 3600 seconds (~720 samples/truck)...
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=20.1
Truck : 47.58146,-52.67653; Accident=0; Door=0; TempC=20.0
Truck : 47.58146,-52.67653; Accident=0; Door=0; TempC=20.0
Truck : 47.58158,-52.67874; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=20.1
Truck : 47.58155,-52.67675; Accident=0; Door=0; TempC=20.0
Truck : 47.58155,-52.67675; Accident=0; Door=0; TempC=20.0
Truck : 47.58312,-52.67874; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=20.1
Truck : 47.58160,-52.67696; Accident=0; Door=0; TempC=20.0
Truck : 47.58160,-52.67696; Accident=0; Door=0; TempC=20.0
Truck : 47.58449,-52.68034; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=20.1
Truck : 47.58161,-52.67717; Accident=0; Door=0; TempC=20.0
Truck : 47.58161,-52.67717; Accident=0; Door=0; TempC=20.3
Truck : 47.58488,-52.68121; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58163,-52.67781; Accident=0; Door=0; TempC=20.0
Truck : 47.58163,-52.67781; Accident=0; Door=0; TempC=20.3
Truck : 47.58471,-52.68278; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58171,-52.67804; Accident=0; Door=0; TempC=20.0
Truck : 47.58171,-52.67804; Accident=0; Door=0; TempC=20.3
Truck : 47.58449,-52.68403; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58180,-52.67819; Accident=0; Door=0; TempC=20.0
Truck : 47.58180,-52.67819; Accident=0; Door=0; TempC=19.7
Truck : 47.58662,-52.68422; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58167,-52.67850; Accident=0; Door=0; TempC=20.0
Truck : 47.58167,-52.67850; Accident=0; Door=0; TempC=19.7
Truck : 47.58811,-52.68444; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58158,-52.67874; Accident=0; Door=0; TempC=20.0
Truck : 47.58158,-52.67874; Accident=0; Door=0; TempC=19.8
Truck : 47.58986,-52.68579; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58153,-52.67897; Accident=0; Door=0; TempC=20.0
Truck : 47.58153,-52.67897; Accident=0; Door=0; TempC=19.8
Truck : 47.59131,-52.68628; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58152,-52.67907; Accident=0; Door=0; TempC=20.0
Truck : 47.58152,-52.67907; Accident=0; Door=0; TempC=19.8
Truck : 47.59226,-52.68722; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=1; Door=0; TempC=19.8
Truck : 47.58146,-52.67918; Accident=0; Door=0; TempC=20.0
Truck : 47.58160,-52.67898; Accident=0; Door=0; TempC=19.8
Truck : 47.59376,-52.68800; Accident=0; Door=0; TempC=19.7
Truck : 47.58163,-52.67781; Accident=0; Door=0; TempC=19.8
Truck : 47.58140,-52.67938; Accident=0; Door=0; TempC=20.0
Truck : 47.58180,-52.67883; Accident=0; Door=0; TempC=19.8
Truck : 47.59480,-52.68900; Accident=0; Door=0; TempC=19.7
Truck : 47.58158,-52.67874; Accident=0; Door=0; TempC=19.8
Truck : 47.58135,-52.67971; Accident=0; Door=0; TempC=20.0
Truck : 47.58195,-52.67875; Accident=0; Door=0; TempC=18.9
Truck : 47.59541,-52.69030; Accident=0; Door=0; TempC=19.7
Truck : 47.58135,-52.67971; Accident=0; Door=0; TempC=19.8
Truck : 47.58133,-52.68071; Accident=0; Door=0; TempC=20.0
Truck : 47.58213,-52.67869; Accident=0; Door=0; TempC=18.9
Truck : 47.59568,-52.69130; Accident=0; Door=0; TempC=19.7
Truck : 47.58133,-52.68071; Accident=0; Door=0; TempC=19.8
Truck : 47.58136,-52.68124; Accident=0; Door=0; TempC=20.0
Truck : 47.58229,-52.67867; Accident=0; Door=0; TempC=18.9
Truck : 47.59592,-52.69263; Accident=0; Door=0; TempC=20.5
Truck : 47.58131,-52.68169; Accident=0; Door=0; TempC=19.8
Truck : 47.58136,-52.68147; Accident=0; Door=0; TempC=20.0
Truck : 47.58260,-52.67873; Accident=0; Door=0; TempC=19.7
Truck : 47.59628,-52.69355; Accident=0; Door=0; TempC=20.5
Truck : 47.58060,-52.68289; Accident=0; Door=0; TempC=20.2
Truck : 47.58131,-52.68169; Accident=0; Door=0; TempC=20.0
Truck : 47.58277,-52.67872; Accident=0; Door=0; TempC=19.7
Truck : 47.59705,-52.69485; Accident=0; Door=0; TempC=20.5
Truck : 47.57982,-52.68474; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58293,-52.67873; Accident=0; Door=0; TempC=19.7
Truck : 47.59779,-52.69691; Accident=0; Door=0; TempC=20.5
Truck : 47.57830,-52.68957; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58312,-52.67874; Accident=0; Door=0; TempC=19.7
Truck : 47.59822,-52.69799; Accident=0; Door=0; TempC=20.1
Truck : 47.57684,-52.69400; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58332,-52.67880; Accident=0; Door=0; TempC=19.7
Truck : 47.59892,-52.69970; Accident=0; Door=0; TempC=20.1
Truck : 47.57602,-52.69585; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58345,-52.67886; Accident=0; Door=0; TempC=19.6
Truck : 47.59981,-52.70066; Accident=0; Door=0; TempC=20.6
Truck : 47.57503,-52.69803; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58354,-52.67892; Accident=0; Door=0; TempC=19.6
Truck : 47.60086,-52.70154; Accident=0; Door=0; TempC=20.6
Truck : 47.57429,-52.69934; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58382,-52.67929; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57512,-52.70208; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58449,-52.68034; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57507,-52.70324; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58469,-52.68067; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57458,-52.70418; Accident=0; Door=0; TempC=20.6
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58480,-52.68093; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57343,-52.70786; Accident=0; Door=0; TempC=20.4
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58488,-52.68121; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57204,-52.70726; Accident=0; Door=0; TempC=20.4
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58492,-52.68150; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57091,-52.70595; Accident=0; Door=0; TempC=20.4
Truck : 47.58085,-52.68243; Accident=1; Door=0; TempC=20.0
Truck : 47.58491,-52.68176; Accident=0; Door=0; TempC=19.6
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.57008,-52.70706; Accident=0; Door=0; TempC=20.4
Truck : 47.58085,-52.68243; Accident=0; Door=0; TempC=20.0
Truck : 47.58471,-52.68278; Accident=0; Door=0; TempC=19.7
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
Truck : 47.56906,-52.70800; Accident=0; Door=0; TempC=20.4
Truck : 47.58060,-52.68289; Accident=0; Door=0; TempC=20.0
Truck : 47.58455,-52.68362; Accident=0; Door=0; TempC=19.7
Truck : 47.60156,-52.70257; Accident=1; Door=0; TempC=20.6
