==============================================================================
fleetsimOSS.pl v2.00a
Command line: -offline
Run Date/Time: 2018-10-12 16:06:49
Running simulation.  Type 'Ctrl C' at anytime to end simulation.
Reading truck route info ...
Reading warehouse info...
Warehouse Name: Quidi Vidi Brewery; Lat: 47.58136; Long: -52.67638
Resetting all trucks...
[2018-10-12 16:06:49] Truck 0: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:06:49] Truck 1: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:06:49] Truck 2: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:06:49] Truck 3: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Simulation starts in:
5 seconds...
4 seconds...
3 seconds...
2 seconds...
1 seconds...
4 Trucks are on the way!
Truck data will update every 5 seconds for a maximum of 3600 seconds (~720 samples/truck)...
[2018-10-12 16:06:59] Truck 0: 47.58136,-52.67638; Accident=0; Door=0; TempC=19.8
[2018-10-12 16:06:59] Truck 1: 47.58136,-52.67638; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:06:59] Truck 2: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:06:59] Truck 3: 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:04] Truck 0: 47.58163,-52.67781; Accident=0; Door=0; TempC=20.3
[2018-10-12 16:07:04] Truck 1: 47.58163,-52.67781; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:07:04] Truck 2: 47.58146,-52.67653; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:04] Truck 3: 47.58146,-52.67653; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:09] Truck 0: 47.58158,-52.67874; Accident=0; Door=0; TempC=21.0
[2018-10-12 16:07:09] Truck 1: 47.58158,-52.67874; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:07:09] Truck 2: 47.58155,-52.67675; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:09] Truck 3: 47.58155,-52.67675; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:14] Truck 0: 47.58312,-52.67874; Accident=0; Door=0; TempC=20.7
[2018-10-12 16:07:14] Truck 1: 47.58135,-52.67971; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:07:14] Truck 2: 47.58160,-52.67696; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:14] Truck 3: 47.58160,-52.67696; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:19] Truck 0: 47.58449,-52.68034; Accident=0; Door=0; TempC=20.1
[2018-10-12 16:07:19] Truck 1: 47.58133,-52.68071; Accident=0; Door=0; TempC=19.2
[2018-10-12 16:07:19] Truck 2: 47.58161,-52.67717; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:19] Truck 3: 47.58161,-52.67717; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:24] Truck 0: 47.58488,-52.68121; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:24] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.2
[2018-10-12 16:07:24] Truck 2: 47.58163,-52.67781; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:24] Truck 3: 47.58163,-52.67781; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:29] Truck 0: 47.58471,-52.68278; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:29] Truck 1: 47.58131,-52.68169; Accident=1; Door=0; TempC=19.2
[2018-10-12 16:07:29] Truck 2: 47.58171,-52.67804; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:29] Truck 3: 47.58171,-52.67804; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:34] Truck 0: 47.58449,-52.68403; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:34] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.3
[2018-10-12 16:07:34] Truck 2: 47.58180,-52.67819; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:34] Truck 3: 47.58180,-52.67819; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:39] Truck 0: 47.58662,-52.68422; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:39] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.4
[2018-10-12 16:07:39] Truck 2: 47.58167,-52.67850; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:39] Truck 3: 47.58167,-52.67850; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:44] Truck 0: 47.58811,-52.68444; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:44] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.5
[2018-10-12 16:07:44] Truck 2: 47.58158,-52.67874; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:44] Truck 3: 47.58158,-52.67874; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:49] Truck 0: 47.58986,-52.68579; Accident=0; Door=0; TempC=19.7
[2018-10-12 16:07:49] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.6
[2018-10-12 16:07:49] Truck 2: 47.58153,-52.67897; Accident=0; Door=0; TempC=20.2
[2018-10-12 16:07:49] Truck 3: 47.58153,-52.67897; Accident=0; Door=0; TempC=20.0
[2018-10-12 16:07:54] Truck 0: 47.59131,-52.68628; Accident=0; Door=0; TempC=19.9
[2018-10-12 16:07:54] Truck 1: 47.58131,-52.68169; Accident=1; Door=1; TempC=19.7
